relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
0,-0.031124621629714966,0.3758896589279175,8.927978515625,1005.042236328125,281.9955650366809,46.421353005426624
38,-0.3974374830722809,0.3734954595565796,9.641449928283691,,286.32967523489083,46.608144431225824
96,,0.3519476354122162,9.255983352661133,,288.4651475392737,
97,-0.38067805767059326,,,,289.7114043458017,46.354571459339226
157,-0.5554547905921936,0.040701430290937424,10.42195987701416,1005.040771484375,284.4450143070201,45.93406535382708
217,,0.12449848651885986,11.003750801086426,,281.5645391189181,
218,0.7541735172271729,,,,,45.062117819739186
278,-0.3232172429561615,0.17717093229293823,10.960655212402344,,286.2841110429377,44.991837767242075
338,0.49559974670410156,1.558625340461731,9.59596061706543,1005.043212890625,300.5837267873847,44.74849575116591
397,0.40940847992897034,2.1739351749420166,9.57441234588623,,308.674174651724,43.85659221587088
457,0.043095629662275314,2.9281086921691895,7.716512203216553,,322.42956092310436,43.45669466455279
521,,,,1005.05419921875,,
522,-0.8906430602073669,3.318363666534424,7.177816867828369,,336.1302937282936,42.651559976650006
578,-1.2473790645599365,3.533841609954834,7.3885064125061035,,336.8401126000507,41.85979426975427
636,,-0.038307227194309235,,,,
637,-3.1435868740081787,,8.678980827331543,,190.701029948621,41.84714965520516
698,-3.2417490482330322,-0.849941611289978,9.825803756713867,1005.051025390625,207.2620257046109,42.414565795615076
758,-2.0638017654418945,-0.2059013396501541,9.691728591918945,,243.11508201659854,43.30898540413369
820,-1.5442601442337036,-0.3663128614425659,10.522516250610352,,251.8493093611574,44.5231522391846
878,-0.6368576288223267,-0.5793967843055725,10.180145263671875,1005.068603515625,260.5343388531246,45.57326577745383
938,0.6033388376235962,0.304063618183136,10.572794914245605,,276.96034275035834,46.258014449913325
996,1.501164436340332,1.0223240852355957,11.367670059204102,,286.0409426481069,45.95255655198366
1058,1.1899182796478271,0.45250412821769714,9.315838813781738,1005.08935546875,286.08054408491466,45.20218548093283
1117,0.9481038451194763,1.3766659498214722,9.253589630126953,,298.4435006713395,44.459512159448515
1177,2.006340980529785,4.335899353027344,8.197746276855469,,313.07303845836026,43.04380096407134
1239,0.9624691009521484,4.355052947998047,8.456320762634277,1005.087158203125,322.46456905769526,42.052766140197186
1297,-0.4596867263317108,2.4205379486083984,8.073247909545898,,321.1352025093465,40.97094991020833
1358,-0.7805097699165344,3.069366693496704,7.920019149780273,,326.4827727615084,39.78601529203637
1420,-2.054224967956543,2.097320795059204,9.27034854888916,1005.072021484375,308.842545644954,39.965000084512276
1479,-1.843535304069519,1.256955862045288,8.26239013671875,,263.36873075489655,40.49506650627904
1539,,0.12689268589019775,,,,
1540,-2.03507137298584,,10.69489860534668,,234.11313857733182,41.92939582378511
1603,-1.501164436340332,0.1149216815829277,9.885659217834473,1005.072998046875,248.78339453708958,43.798560035302565
1659,-0.8978256583213806,-0.1412578970193863,10.309432983398438,,256.8442676823227,44.913756131288594
1719,0.6105214357376099,0.22266076505184174,10.228029251098633,,269.7242149474042,45.98165191455657
1780,0.9193734526634216,-0.002394201699644327,11.736376762390137,1005.09619140625,272.5167856008881,46.02019343167657
1839,1.7166426181793213,1.1300631761550903,9.277531623840332,,286.0726210654774,45.37686005229841
1902,1.86508309841156,1.53707754611969,10.888829231262207,,290.66209837637575,44.48897637461027
1960,1.9800047874450684,2.3702597618103027,8.149862289428711,1005.115478515625,300.5426227089595,42.897481100853135
2019,1.0749965906143188,2.827552318572998,9.524134635925293,,311.24699762904106,41.464859867592914
2078,,3.687070608139038,,,,
2079,0.8834604024887085,,7.240066051483154,,320.1060979071007,40.632936935183224
2141,,3.3662476539611816,8.303091049194336,1005.06787109375,334.1415492552083,
2142,-0.6775590777397156,,,,320.8466543376702,39.80533086674921
2202,-1.8602946996688843,3.162740468978882,6.782773494720459,,3.1958252355248646,39.533760295327156
2261,-2.9927520751953125,2.097320795059204,8.556877136230469,,56.72543822681877,39.65922908605046
2322,-2.918531894683838,1.2713210582733154,8.80587387084961,1005.035888671875,216.95947364668166,40.56856442065497
2381,-2.6575639247894287,0.5051765441894531,8.968679428100586,,229.19403633708862,42.088792048309195
2440,,-0.29209262132644653,,,,
2441,-2.118868589401245,,9.627084732055664,,238.96246360501414,43.85031206461437
2502,-1.680729627609253,-0.8212111592292786,11.295844078063965,1005.029052734375,247.70511940300884,45.40513468175148
2561,,-1.1037269830703735,11.60708999633789,,257.7681054090803,
2562,0.05267243832349777,,,,,46.174511938240954
2621,2.0614075660705566,-0.20350714027881622,10.496180534362793,,271.14167044547867,46.59161029767968
2684,2.5043349266052246,0.4118026793003082,10.079588890075684,1005.079345703125,279.63772226349,46.16137376612861
2740,,1.0606313943862915,9.804255485534668,,286.5601394778654,
2741,2.7533318996429443,,,,,45.422097766360736
2800,,1.7190368175506592,9.102754592895508,,,
2801,3.201047658920288,,,,293.0618375299356,44.76152823367912
2862,2.698265314102173,2.276885747909546,8.643068313598633,1005.08984375,302.07212063017886,43.45114466667001
2921,,3.0334534645080566,7.797914981842041,,,
2923,2.118868589401245,,,,314.00197150623865,42.18098149515625
2984,1.3623007535934448,3.4548330307006836,7.429207801818848,,324.5763235301852,41.04933969895443
3041,,3.2106244564056396,7.42681360244751,1005.058349609375,,
3042,-0.19153612852096558,,,,343.15062853461035,39.87838445805072
3101,,2.609679937362671,8.003816604614258,,31.330320194564024,39.56038987576074
3102,-1.9728221893310547,,,,,
3162,-2.494758129119873,1.678335428237915,8.722076416015625,,160.1006996546094,39.99412778248336
3223,-2.655169725418091,1.1659762859344482,9.32541561126709,1005.02783203125,213.82292783640673,41.360588496704985
3284,-2.607285737991333,0.49559974670410156,9.05247688293457,,225.4227473868661,43.02464199016965
3343,-1.8626888990402222,-0.24899697303771973,9.916783332824707,,238.99288526757738,44.39144436727818
3404,-0.5315127968788147,-1.1516109704971313,11.042057991027832,1005.055908203125,247.5329303340328,45.94393967889815
3462,,-0.5506663918495178,,,,
3463,0.5051765441894531,,10.433931350708008,,262.102727871478,46.39485933602567
3524,1.7405846118927002,-0.6799532771110535,9.500192642211914,,267.2070170306877,46.85846342725275
3584,,,,1005.087646484375,,
3585,2.5522189140319824,-0.47405192255973816,10.189722061157227,,272.69824323656786,47.111463341120974
3644,3.162740468978882,-0.3495534360408783,9.928754806518555,,276.54152238064233,46.92648038683466
3705,2.9257144927978516,0.3208230137825012,10.896012306213379,,285.93747211237036,46.63235160349202
3767,3.7636849880218506,1.0654197931289673,9.397241592407227,1005.093994140625,289.6863580421153,45.392449003046934
3826,2.9759926795959473,2.190694570541382,8.611943244934082,,304.80968435518207,44.47845542394002
3887,,3.2321722507476807,,,,
3888,2.5713725090026855,,7.374141216278076,,314.43275495228596,42.94462030328187
3950,-1.0989385843276978,2.873042106628418,7.548917770385742,1005.057373046875,15.181492204038591,41.35758513874859
