,name,price
0,"매화(치킨, 연어구이)","10,000"
1,매화 (순살 고등어데리야끼),"10,000"
2,진달래,"7,000"
3,개나리(순살 고등어 간장구이),"8,000"
4,중화 짜장볶음밥,"4,700"
5,나시고랭,"4,500"
6,생선까스도련님고기고기,"5,500"
7,돈까스도련님고기고기,"5,500"
8,탕수육도련님고기고기,"5,600"
9,새치 고기고기,"6,000"
10,돈치 고기고기,"5,200"
11,고기고기,"4,000"
12,제육 김치찌개 정식,"8,000"
13,고등어 불고기 정식,"7,000"
14,콤비네이션 정식,"6,000"
15,숯불직화구이,"6,500"
16,소불고기,"5,000"
17,메가치킨제육,"6,900"
18,생선까스도련님,"3,900"
19,칠리 찹쌀탕수육도련님,"4,000"
20,동백,"5,000"
21,치킨제육,"4,400"
22,국화,"4,200"
23,돈까스도련님,"3,900"
24,제육볶음,"3,900"
25,한솥밥,"1,000"
26,현미밥,"1,700"
27,마라치킨마요세트,"5,700"
28,마라치킨마요,"3,700"
29,메가불닭치킨 고로케,"8,200"
30,메가불닭참치 고로케,"8,200"
31,메가불닭치킨 케이준,"7,700"
32,메가불닭참치 케이준,"7,700"
33,불닭치킨 고로케세트,"5,300"
34,불닭참치 고로케세트,"5,300"
35,불닭치킨 케이준세트,"4,800"
36,불닭참치 케이준세트,"4,800"
37,메가불닭치킨마요,"6,400"
38,메가불닭참치마요,"6,400"
39,불닭치킨마요,"3,500"
40,불닭참치마요,"3,500"
41,피자불고기마요,"4,700"
42,피자치킨마요,"4,500"
43,갈비치킨마요,"3,200"
44,메가치킨마요,"5,200"
45,왕치킨마요,"4,200"
46,빅치킨마요,"3,500"
47,치킨마요,"2,900"
48,참치 샐러드마요,"3,400"
49,치킨 샐러드마요,"3,400"
50,참치마요,"2,900"
51,돈치마요,"3,500"
52,치즈 카레도시락,"4,000"
53,돈까스 카레,"3,900"
54,소불고기 철판볶음밥,"4,500"
55,한솥 철판볶음밥,"3,700"
56,소고기 육개장,"4,500"
57,묵은지 김치찌개,"4,300"
58,고추장숯불삼겹덮밥세트,"8,500"
59,고추장숯불삼겹덮밥,"6,500"
60,숯불직화구이 덮밥,"5,700"
61,숯불구이 덮밥 + 쌈채소,"6,700"
62,왕카레돈까스덮밥,"5,500"
63,새우돈까스 덮밥,"3,900"
64,돈까스 덮밥,"3,600"
65,치즈불닭비빔밥,"5,700"
66,불닭비빔밥,"4,500"
67,소불고기 감초고추장 비빔밥,"4,800"
68,시골제육 두부강된장 비빔밥,"4,800"
69,참치야채 감초고추장,"3,200"
70,튼튼도시락,"5,000"
71,해피닭가슴살볶음밥,"5,000"
72,쑥쑥치킨마요,"5,000"
73,마라치킨마요세트,"5,700"
74,마라치킨마요,"3,700"
75,메가불닭치킨 고로케,"8,200"
76,메가불닭참치 고로케,"8,200"
77,메가불닭치킨 케이준,"7,700"
78,메가불닭참치 케이준,"7,700"
79,불닭치킨 고로케세트,"5,300"
80,불닭참치 고로케세트,"5,300"
81,불닭치킨 케이준세트,"4,800"
82,불닭참치 케이준세트,"4,800"
83,메가불닭치킨마요,"6,400"
84,메가불닭참치마요,"6,400"
85,불닭치킨마요,"3,500"
86,불닭참치마요,"3,500"
87,피자불고기마요,"4,700"
88,피자치킨마요,"4,500"
89,갈비치킨마요,"3,200"
90,메가치킨마요,"5,200"
91,왕치킨마요,"4,200"
92,빅치킨마요,"3,500"
93,치킨마요,"2,900"
94,참치 샐러드마요,"3,400"
95,치킨 샐러드마요,"3,400"
96,참치마요,"2,900"
97,돈치마요,"3,500"
98,치즈 카레도시락,"4,000"
99,돈까스 카레,"3,900"
100,소불고기 철판볶음밥,"4,500"
101,한솥 철판볶음밥,"3,700"
102,소고기 육개장,"4,500"
103,묵은지 김치찌개,"4,300"
104,고추장숯불삼겹덮밥세트,"8,500"
105,고추장숯불삼겹덮밥,"6,500"
106,숯불직화구이 덮밥,"5,700"
107,숯불구이 덮밥 + 쌈채소,"6,700"
108,왕카레돈까스덮밥,"5,500"
109,새우돈까스 덮밥,"3,900"
110,돈까스 덮밥,"3,600"
111,치즈불닭비빔밥,"5,700"
112,불닭비빔밥,"4,500"
113,소불고기 감초고추장 비빔밥,"4,800"
114,시골제육 두부강된장 비빔밥,"4,800"
115,참치야채 감초고추장,"3,200"
116,튼튼도시락,"5,000"
117,해피닭가슴살볶음밥,"5,000"
118,쑥쑥치킨마요,"5,000"
119,마라치킨마요세트,"5,700"
120,마라치킨마요,"3,700"
121,메가불닭치킨 고로케,"8,200"
122,메가불닭참치 고로케,"8,200"
123,메가불닭치킨 케이준,"7,700"
124,메가불닭참치 케이준,"7,700"
125,불닭치킨 고로케세트,"5,300"
126,불닭참치 고로케세트,"5,300"
127,불닭치킨 케이준세트,"4,800"
128,불닭참치 케이준세트,"4,800"
129,메가불닭치킨마요,"6,400"
130,메가불닭참치마요,"6,400"
131,불닭치킨마요,"3,500"
132,불닭참치마요,"3,500"
133,피자불고기마요,"4,700"
134,피자치킨마요,"4,500"
135,갈비치킨마요,"3,200"
136,메가치킨마요,"5,200"
137,왕치킨마요,"4,200"
138,빅치킨마요,"3,500"
139,치킨마요,"2,900"
140,참치 샐러드마요,"3,400"
141,치킨 샐러드마요,"3,400"
142,참치마요,"2,900"
143,돈치마요,"3,500"
144,치즈 카레도시락,"4,000"
145,돈까스 카레,"3,900"
146,소불고기 철판볶음밥,"4,500"
147,한솥 철판볶음밥,"3,700"
148,소고기 육개장,"4,500"
149,묵은지 김치찌개,"4,300"
150,고추장숯불삼겹덮밥세트,"8,500"
151,고추장숯불삼겹덮밥,"6,500"
152,숯불직화구이 덮밥,"5,700"
153,숯불구이 덮밥 + 쌈채소,"6,700"
154,왕카레돈까스덮밥,"5,500"
155,새우돈까스 덮밥,"3,900"
156,돈까스 덮밥,"3,600"
157,치즈불닭비빔밥,"5,700"
158,불닭비빔밥,"4,500"
159,소불고기 감초고추장 비빔밥,"4,800"
160,시골제육 두부강된장 비빔밥,"4,800"
161,참치야채 감초고추장,"3,200"
162,튼튼도시락,"5,000"
